inj_id,target_layer,layer_weigths,bit_pos,n_injections,top_1_correct,top_5_correct,top_1_robust,top_5_robust,masked,non_critical,critical
15462,conv2d_18,"(2, 2, 13, 1)",28,10,10,10,10,10,1,9,0
15463,conv2d_18,"(2, 1, 7, 1)",11,10,10,10,10,10,4,6,0
15464,conv2d_18,"(0, 0, 18, 33)",22,10,10,10,10,10,0,10,0
15465,conv2d_18,"(0, 2, 33, 44)",12,10,10,10,10,10,1,9,0
15466,conv2d_18,"(2, 0, 21, 32)",11,10,10,10,10,10,7,3,0
15467,conv2d_18,"(2, 1, 22, 10)",12,10,10,10,10,10,1,9,0
15468,conv2d_18,"(1, 2, 18, 0)",12,10,10,10,10,10,1,9,0
15469,conv2d_18,"(0, 1, 2, 31)",4,10,10,10,10,10,7,3,0
15470,conv2d_18,"(0, 1, 17, 30)",27,10,10,10,10,10,1,9,0
15471,conv2d_18,"(2, 2, 32, 1)",30,10,0,3,0,3,0,0,10
15472,conv2d_18,"(1, 2, 38, 33)",14,10,10,10,10,10,1,9,0
15473,conv2d_18,"(0, 0, 13, 1)",28,10,10,10,10,10,2,8,0
15474,conv2d_18,"(1, 1, 62, 1)",30,10,0,3,0,3,0,0,10
15475,conv2d_18,"(0, 0, 43, 39)",18,10,10,10,10,10,0,10,0
15476,conv2d_18,"(1, 2, 31, 24)",29,10,10,10,10,10,10,0,0
15477,conv2d_18,"(1, 0, 28, 38)",4,10,10,10,10,10,10,0,0
15478,conv2d_18,"(0, 0, 5, 9)",25,10,10,10,10,10,1,9,0
15479,conv2d_18,"(1, 0, 26, 10)",30,10,2,2,2,2,0,2,8
15480,conv2d_18,"(1, 0, 3, 41)",20,10,10,10,10,10,0,10,0
15481,conv2d_18,"(0, 2, 28, 7)",23,10,10,10,10,10,1,9,0
15482,conv2d_18,"(1, 0, 14, 12)",30,10,0,5,0,5,0,0,10
15483,conv2d_18,"(2, 1, 45, 36)",15,10,10,10,10,10,0,10,0
15484,conv2d_18,"(1, 0, 21, 52)",0,10,10,10,10,10,10,0,0
15485,conv2d_18,"(2, 2, 34, 31)",8,10,10,10,10,10,4,6,0
15486,conv2d_18,"(0, 1, 0, 55)",15,10,10,10,10,10,0,10,0
15487,conv2d_18,"(1, 2, 16, 23)",8,10,10,10,10,10,8,2,0
15488,conv2d_18,"(2, 2, 17, 57)",29,10,10,10,10,10,0,10,0
15489,conv2d_18,"(0, 2, 16, 3)",19,10,10,10,10,10,4,6,0
15490,conv2d_18,"(2, 2, 2, 1)",31,10,10,10,10,10,1,9,0
15491,conv2d_18,"(0, 0, 10, 42)",11,10,10,10,10,10,4,6,0
15492,conv2d_18,"(0, 2, 33, 30)",26,10,10,10,10,10,0,10,0
15493,conv2d_18,"(1, 2, 53, 45)",22,10,10,10,10,10,2,8,0
15494,conv2d_18,"(2, 1, 35, 48)",5,10,10,10,10,10,10,0,0
15495,conv2d_18,"(0, 0, 8, 56)",14,10,10,10,10,10,2,8,0
15496,conv2d_18,"(2, 1, 18, 20)",19,10,10,10,10,10,1,9,0
15497,conv2d_18,"(0, 0, 21, 22)",18,10,10,10,10,10,0,10,0
15498,conv2d_18,"(0, 0, 27, 26)",15,10,10,10,10,10,2,8,0
15499,conv2d_18,"(0, 2, 4, 29)",3,10,10,10,10,10,10,0,0
15500,conv2d_18,"(2, 1, 21, 37)",24,10,10,10,10,10,0,10,0
15501,conv2d_18,"(0, 0, 24, 0)",12,10,10,10,10,10,1,9,0
15502,conv2d_18,"(2, 1, 43, 0)",11,10,10,10,10,10,2,8,0
15503,conv2d_18,"(0, 1, 21, 3)",22,10,10,10,10,10,0,10,0
15504,conv2d_18,"(0, 2, 6, 19)",11,10,10,10,10,10,3,7,0
